# mask_cen mask_weight
6.427757999265072613e+02 9.948719044050722271e-01
6.428419999264906437e+02 9.948319103778625605e-01
6.429822999264554255e+02 9.947457898884114469e-01
6.430562999264368500e+02 9.947354180309599947e-01
6.431327999264176469e+02 9.949660702434465209e-01
6.433602999263605398e+02 9.947621846270241486e-01
6.433800999263555696e+02 9.948158186996629571e-01
6.436777999262808407e+02 9.999977116501946872e-01
6.437731999262568934e+02 9.939887852138549196e-01
6.437914999262522997e+02 9.948749387186112125e-01
6.438821999262295321e+02 9.944077866306522129e-01
6.440853999261785248e+02 9.963562356438678824e-01
6.442724999261315588e+02 9.948781723501327612e-01
6.443926999261013862e+02 9.946526086987725890e-01
6.444766999260803004e+02 9.909024718093573103e-01
6.445017999260739998e+02 9.946108505518825860e-01
6.445229999260686782e+02 9.935559810993180863e-01
6.445987999260496508e+02 9.943953083259250425e-01
6.446213999260439778e+02 9.948293144443883795e-01
6.447136999260208086e+02 9.944465538251104908e-01
6.447428999260134788e+02 9.945801085419514465e-01
6.447619999260086843e+02 9.943387260964479113e-01
6.447875999260022581e+02 9.862452584488117235e-01
6.448677999259821263e+02 9.946129214177948930e-01
6.449868999259522298e+02 9.947684993022718469e-01
6.450307999259412099e+02 9.941557878622899747e-01
6.450516999259359636e+02 9.942099191333937380e-01
6.451262999259172375e+02 9.945571925766527599e-01
6.452045999258975826e+02 9.947359555343773252e-01
6.452600999258836509e+02 9.946294261561050565e-01
6.453960999258495121e+02 9.946022079679480710e-01
6.455354999258145199e+02 9.945803305889656665e-01
6.455841999258022952e+02 9.940314867343461591e-01
6.456067999257966221e+02 9.944977870353355343e-01
6.456281999257912503e+02 9.957195419290663096e-01
6.457761999257540992e+02 9.990221075927219196e-01
6.458230999257423264e+02 9.943990782403807627e-01
6.458901999257254829e+02 9.945247588054795251e-01
6.459476999257110492e+02 9.943369294385576707e-01
6.459816999257025145e+02 9.978859430102520189e-01
6.460108999256951847e+02 9.936166180109911039e-01
6.460364999256887586e+02 9.941904711088326296e-01
6.461231999256669951e+02 9.944026438525086498e-01
6.461749999256539922e+02 9.936557442342333069e-01
6.461862999256511557e+02 9.942809922024243852e-01
6.462310999256399100e+02 9.942051969540257605e-01
6.463075999256207069e+02 9.943952320454303440e-01
6.464350999255887018e+02 9.960711226208645019e-01
6.465549999255586044e+02 9.942264701884951927e-01
6.465833999255514755e+02 9.944670181183441482e-01
6.466545999255336028e+02 9.943118259946930326e-01
6.466676999255303144e+02 9.930963299321942106e-01
6.467241999255161318e+02 9.934859597890352001e-01
